job,work_type,job_details
Senior Data Engineer,Remote,"About the job Senior Software Engineer - Data Engineer Job Title: SSE DE Experience-(5-7)Yrs looking for a Data Engineer who is familiar with the Hadoop platform and is able to design, implement and maintain optimal data/machine learning (ML) pipelines in the platform. The following are the main responsibilities of the role: Responsibilities Designing and implementing fine-tuned production-ready data/ML pipelines in Hadoop platform. Driving optimization, testing, and tools to improve quality. Reviewing and approving high-level & detailed design to ensure that the solution delivers to the business needs and aligns with the data & analytics architecture principles and roadmap. Understanding business requirements and solution design to develop and implement solutions that adhere to big data architectural guidelines and address business requirements.Following proper SDLC (Code review, sprint process). Identifying, designing, and implementing internal process improvements: automating manual processes, optimizing data delivery, etc. Building robust and scalable data infrastructure (both batch processing and real-time) to support the needs of internal and external users Understanding various data security standards and using secure data security tools to apply and adhere to the required data controls for user access in the Hadoop platform.Supporting and contributing to developing guidelines and standards for data ingestionWorking with data scientist and business analytics team to assist in data ingestion and data-related technical issues. Designing and documenting the development & deployment flow. Requirements Experience in developing rest API services using one of the Scala frameworksAbility to troubleshoot and optimize complex queries on the Spark platformExpert in building and optimizing ‘big data’ data/ML pipelines, architectures, and data setsKnowledge in modeling unstructured to structured data design. Experience in Big Data access and storage techniques. Experience in doing cost estimation based on design and development.Excellent debugging skills for the technical stack mentioned above which even includes analyzing server logs and application logs. Highly organized, self-motivated, proactive, and able to propose the best design solutions.Good time management and multitasking skills to work to deadlines by working independently and as a part of a team.Ability to analyze and understand complex problems. Ability to explain technical information in business terms. Ability to communicate clearly and effectively, both verbally and in writing.Strong in user requirements gathering, maintenance, and support Excellent understanding of Agile Methodology. Good experience in Data Architecture, Data Modelling, and Data Security. Experience -Must have: Scala: Minimum 2 years of experience Hadoop, Spark, Hive, Hbase: Minimum 3 Years of ExperienceWeb Application Development: Minimum 1 year of past work experienceExpertise in either Kafka or ElasticSearchProfessional level English Communication skills.Experience (Good to have): Experience in Spark MLOptimization techniques of HBase, Kafka.Hands-on experience in creating Hadoop Cluster"
Data Engineer Lead (6 to 10 Yrs.),Hybrid,"About the job Hi connections, I’m currently #hiring for the Role of Azure Data Engineer Module Lead for a Global Professional Service Firm Location: Mumbai & Pune Must haves: 1) 5+ Years of experience with ""Data Factory"" 2) 5+ Years of experience with Python Notice period:Immediate to 30 days only Interested candidates can share your resumes to me at ""References will be appreciated."""
Senior Automation Tester,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Senior Automation Tester in JavaScript to join our team. Responsibilities Work with the QA Manager to meet automation test requirements to the highest standardsDesign Automation test strategies, test frameworks based on user requirementsHelp and assist other products with technical choices and define the next level for the present technical solutionsCandidate should possess a motivating attitude and be passionate about building great automation solutions Requirements 3+ years of professional Automation QA experience in technically rigorous environments holding extremely high bars for quality and automationExperience of working with Cucumber to run automated acceptance tests written in a behaviour-driven development (BDD) styleExperience with ProtobufExcellent knowledge of JavaScript, TypeScript Experience of writing automated tests for gRPCExperience of working with Node Package ManagerExperience of working with source control systems like (Git Hub) or equivalent and working alongside a Development teamUnderstanding of how to write test cases which are concise and readable using GherkinUnderstanding of what can make end-to-end tests fragile / brittle, and what techniques make for more resilient and low-maintenance end-to-end testsAbility to talk with Developers, Product Specialists and raise any issues encountered in creating tests for the application to find the best solution, rather than operating with a silo mentalityEnglish level B2+ and higher Nice to have Knowledge and experience of OMS Systems and financial marketsBusiness Driven Development methodology (BDD)Demonstrated ability to work in a globally distributed software development teamKnowledge and awareness of Non-Functional performance testingExperience with SQL We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Lead Python Automated Testing Developer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Remote Lead Python Automated Testing Developer to join our team. Our customer is an American e-commerce company that sells furniture and home-goods. Their digital platform offers 14 million items from more than 11,000 global suppliers. Responsibilities Following Test Strategy and Test PlanRunning QA ActivitiesDesigning, developing and executing automation scriptsIdentifying, recording, documenting thoroughly and tracking bugsTracking quality assurance metricsStaying up-to-date with new testing tools and test strategiesCommunicating with team to identify system requirementsEstimating, prioritizing, planning and coordinating testing activitiesMonitoring debugging process resultsManual testing Front-end, API Requirements 5+ years of experience as Python automated testing engineerExperience in automation end-2-end tests with PythonExperience in Web Application Front-End TestingExperience in writing clear, concise and comprehensive test plans, checklists and test casesWillingness to test manually to achieve goals of the SprintStrong knowledge of software QA methodologies, tools and processesGood problem-solving skillsB2+ level of English Nice to have Experience with Cypress We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Python Developer,Hybrid,"About the job THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Our large, Fortune client is ranked as one of the best companies to work with, in the world. The client fosters progressive culture, creativity, and Flexible work environment. They use cutting edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader. We are looking for Software Developer who will be implementing exciting new SDK’s in different programming languages that engage and influence our customers worldwide. You will face a variety of unique and interesting challenges, from creating new tools and components, implementing critical services, creating new and engaging user experiences, to digging into performance details. QualificationsBS in Computer Science or a related technical field4+ years of Experience in at least one language: Python, Java, .NET or Node.jsExperience in Swagger / Open API.The ability to implement efficient and maintainable code.Experience with Test Driven DevelopmentExperience with CI/CD concepts and working with a deployment pipelineAbility to operate effectively and independently in a dynamic, fluid environmentDetail oriented and passionate about building software and technology ResponsibilitiesDrive design and implementation of APS SDKsFocus on quality, including writing unit/integration testsConduct research and make recommendations on tools, services, and standards to use for engineering effortsArticulate complex architecture problems, drive engineering excellence, and collaborate with a cross-functional teamDocument and present your ideas and solutions accurately and thoroughlyCoordinate change deployment and release testing effortActively engage with various stakeholders and participate in agile team meetingsImplement prototypes and software components Preferred QualificationsExperience with Git or equivalent revision control systemsExperience in creating Web SDK’sExperience with typical cloud infrastructure (AWS or Azure)Hands-on experience with security best practice"
Senior Java Software Developer,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a Remote Senior Software Engineer with 3+ years of Java experience with Agile software development methodologies like Kanban or Scrum to join our team. You’ll work as part of a small, high-energy team delivering incredible, creative improvements for our engineering teams. You will be working on world-class dev-ops tools, creating shared components and services while guiding the teams with conventions and techniques. Responsibilities Making tools and systems that are a delight to use and multiply the potential of those around youUsing your analytical skills to make sure we're solving the right problems Requirements 3+ years of software development experienceExperience with Java, Spring frameworksExperience with Kafka, Kibana Experience with SSO, Authentication, Authorization, KeycloakKnowledge of Helm, k8s, DockerUnderstanding of RDMS, PostgreSQLKnowledge of LinuxExperience with monitoring techniques and toolsExperience with continuous delivery for production environmentExperience with Agile software development methodologies like Kanban or ScrumEnglish level B2+ We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Lead Automation Tester,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Lead Automation Tester in JS with 5+ years of experience in automated testing to join our global team. The customer is a global provider of professional information, software solutions, and services for clinicians, accountants, lawyers, and tax, finance, audit, risk, compliance, and regulatory sectors. The main pool of tasks is associated with maintaining code quality and availability of search features while increasing the deployment velocity. Responsibilities Maintain a good coverage of search specific automated tests of the search APICollaborate with products to develop product specific automated testsHelp with release notes based on monthly releasesResearch, identify and recommend alternative automated test improvements resulting in improved coverage and/or effective code validationContinuously stay current on market trends and new technologies that can affect how we approach our solutions Requirements Graduate degree (MS or BS) in Computer Science or Engineering1+ years of relevant leadership experienceExpertise in automated testingExperience in languages such as JavaScript or JavaExperience developing production software using agile methodologies (e.g., Scrum, Kanban, SAFe, etc.)Demonstrated ability to function in multi-disciplinary teams across technology and businessStrong verbal and written communication skills and effective presentation skillsProficient English (written and spoken) B2 Nice to have Work experience in developing search technologies or applying semantics to retrieval (e.g., integration to Solr)Experience with engineering cloud-based and containerized solutionsExperience with DevOps, continuous integration, test automation, Git flow We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior Java Software Engineer,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a Remote Senior Software Engineer with 4+ years of Java experience, Spring boot experience, and experience in a microservice environment to join our team. The client is an international provider of sports betting and casino games, headquartered in Malta. The company also has branches in Germany, Austria, Croatia, Gibraltar, and Colombia. Responsibilities Contribute in all phases of the development lifecycleWrite well designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural review Requirements Strong Java Core knowledgeSpring boot experienceExperience in microservice environmentGood EngX/clean code senseProficient English (written and spoken) B2+ Nice to have AWS/K8s experienceKafka knowledgeWorking in a distributed service We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior ReactJS Developer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Senior ReactJS Developer to join our team. The customer is an Irish fast-fashion retailer with headquarters in Dublin, Ireland. It offers a diverse range of products, including baby and children's clothing, womenswear, menswear, homeware, accessories, footwear, beauty products, and confectionery. The company has operations in Europe and the United States, owns over 390 stores across 12 countries. Responsibilities Development of new features/new components according to business requirements on ReactJSIntegration with API via GraphQLFollow Engineering standards (Clean Code, Design Patterns, Coding Principles, Algorithms)Proactively suggest engineering processes improvements Requirements 3+ years experience with FrontEnd development 2+ years experience with ReactJS, NextJSStrong experience with React JS, HTML, CSSIn-depth knowledge of JavaScript including ES6+ and TypeScriptHands-on experience with NextJSMACH architectureBasic Understanding of JAM stackUnderstanding of BFF architecture approachExperience proactively managing issues and risks throughout the delivery lifecycleExcellent verbal and written communication skills, B2 level of English Nice to have Experience with integration of headless CMS (Contentful) Knowledge of Cloud basics (Azure) We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
C++ MFC,On-site,"About the job C++ programming Mandatory Skills :C++, MFC ,WPF, C# Job Description : Good Problem-Solving skills High level of integrity and strategic thinking Experience in creating object oriented design patterns (UML) for complex device control Programming skills in C, C++, MFC for windows multitasking operating systems in the area of embedded systems Experience in the area of agile software development (Scrum) Good English knowledge (oral / written)"""
Principal Data Scientist (Remote),Remote,"About the job • A believer in democratizing Advanced Analytics to empower the business users to solve complex business problems.• A Doer: you get things done and inspire your teams to do the same.• A Master’s degree in machine learning, mathematics, computer science, statistics/ economics or related fields.• 8+ years of hands-on experience developing and applying data-driven solutions in a corporate or consulting setting, preferably Healthcare industries.• Ability to solve data science problems using both traditional and advanced analytical (AI/ML/DL) techniques.• Experience with R, Python, Spark, TensorFlow, Caffe, PyTorch and Big dataplatforms like Apache Spark and Hadoop• Strong experience and knowledge of data engineering, data modelling, algorithms, and data science• Intellectual curiosity and excellent problem-solving skills, including the ability to structure and prioritize an approach for maximum impact."
Azure Data Engineer,On-site,"About the job Tech Mahindra, part of the USD 21 billion Mahindra Group, is a USD 5.2 billion corporation with over 141,000+ professionals across 90 countries, helping 988 global customers including Fortune 500 companies. The world of Engineering and R&D is rapidly changing with shifting Enterprise Engineering Priorities. Some of the levers to this change of priorities for Engineering organizations include building new and relevant products for the modern world, leading the way with innovation in software engineering, adopting modern methodologies and disruptive technologies, enabling of services oriented business models, co-innovating and bringing in excellence into core engineering and smarter operations. Experience – 6 to 12 years Location – Pune , Mumbai , Noida , Bangalore , Hyderabad , Chennai Technical skillsMust have: intermediate/advanced skills andhands-on experienceExperience with Python - MandatoryExperience with Databricks - MandatoryExcellent knowledge of ADF. Ability to develop and configure complex ADF pipelines. (Not limited to “copy data”)Experience with ADF Data FlowsExperience with Spark/PySparkExcellent knowledge of t-SQL.Experience with Azure DevOps, GIT, Visual Studio.Nice to have: intermediate/basic skillsExperience with Power Apps is a plusKnowledge of Power BI is a plusExperience working with the Agile framework Education · B.S. in Actuarial, Behavior Economics, Computer Science, Data Analytics, Data Science, Econometrics, Engineering, IT, Cyber Security, or related field preferred What we look for Strong analytical skills and problem-solving abilityA self-starter, independent-thinker, curious and creative person with ambition and passionExcellent inter-personal, communication, collaboration, and presentation skillsCustomer focusedExcellent time management skillsPositive and constructive mindedTakes responsibility for continuous self-learningTakes the lead and makes decisions in critical times and tough circumstancesAttention to detailHigh levels of integrity and honesty"
Dotnet Developer,Hybrid,"About the job Greetings from TCS!!! TATA CONSULTANCY SERVICES | Hiring Dotnet Developer Position: Dotnet Developer Job Location: Delhi Experience required: 4-6 years. Must-Have Key Skills: ASP.NET , C#.Net, MVC, SQL server / database Good to Have: MVC, webservices, scripting ( Jscript ,jQuery, bootstrap) Minimum Qualification: BE/Btech/Mtech/MCA (full time) Interested Candidates kindly share profile at nimisha.chaturvedi@tcs.com and share below details: Full Name:Email ID:Contact number:Total experience:Current Payroll company:Current location:Preferred Job Locations:Notice period( Please specify LWD if serving notice), Immediate joiners are preferred:CTC:Expected CTC:Offers in hand(with salary details):Please specify if any gap in between education and employment:Highest Fulltime education:University name of Highest education:"
Oracle CPQ Developer,Hybrid,"About the job Openings for Oracle CPQ Developer / Consultant Experience-2+yrs Location- Any where in India - Experience in Product Configuration & Rules, Commerce Process, Document Engine and Pricing functionality of Oracle BigMachines CPQ Cloud- Awareness of Oracle BigMachines CPQ Cloud Integration using pre-built connectors and point to point integration with CRM and ERP applications- CPQ Data table update and migration to Production- Responsible for the functional specification, technical design, implementation and support of CPQ processes and Big Machines solutions.- Experience/knowledge of BMI Configuration, Commerce Document Engine and Big Machines Language (BML).- Big Machines design experience & understanding of the core CPQ architecture Designs, configures, and develops custom code/objects using the Big Machine developer toolkit- Develops customization in related to CPQ (Big Machine) ecosystem.- Develops web services API integrations with other systems including CRM systems- Manage product proprietary and confidential product pricing and configuration information.- Must be conscientious and see problems through to completion with a high and individual emphasis on problem owners"
Affiliate Marketing Manager,On-site,"About the job About us:At GEDU we bring together students and professionals to drive progress through education. We are at the forefront with pioneering educational models that will shape the future of education. Our educational programmes around the world put our students on the path to becoming the leaders of the future. To know more, please visit our websites:GEDU - https://gedu.global/GBS - https://globalbanking.ac.uk/ and https://gbs.ac.ae/ Role: Affiliate Marketing Manager Location: Noida ROLE PURPOSE:To drive Gedu student recruitment growth through planning and delivering affiliate marketing campaigns. This hands-on role will focus on digital channels to drive awareness and generate leads. ROLE and RESPONSIBILITIES:Responsible for managing Gedu marketing initiatives. Uses market research and analysis to direct marketing strategy and planning. Oversees the execution of affiliate marketing campaigns and reports on results.Developing strategies to increase brand awareness, such as creating promotional campaigns that use social media channels such as Facebook, Twitter, YouTube, and LinkedInMonitoring affiliate activity to ensure that they comply with policies set by the company.Negotiating contracts with partners to create mutually beneficial business relationships.Developing an affiliate program strategy that will increase sales while maintaining brand integrity.Creating a structure for tracking performance of affiliates and new business opportunities for the companyManaging affiliate relationships to ensure that they are meeting goals and upholding standards of conduct set by the business.Communicating with affiliates regarding promotions and new products that may be of interest to them.Providing support to affiliates to help them promote products effectively through content creation and distribution.Establishing reporting procedures to measure an affiliate’s performance and provide feedback Essential Skills and Experience3+ years of experience in an Affiliate Marketing or similar positionDegree in marketing or a related field, or equivalent experienceProven working experience in affiliate marketing, with exceptional digital credentials.Highly creative with experience in identifying target audiences and devising campaigns that engage, inform, and motivate.Portfolio of successful affiliate marketing campaignsBachelor’s degree in Marketing, Business, or a related fieldAttention to detail and being data-driven.Strong communication and organizational skillsProven project management skillsFamiliarity with Google AnalyticsFamiliarity with different SEO tools like Ahrefs and SemrushUnderstanding of the Higher Education (HE) sector and student recruitment OTHER INFORMATIONThe Affiliate Marketing Manager will also be expected to demonstrate their commitment:To GBS values and regulations, including equal opportunities policy.The GBS’s Social, Economic and Environmental responsibilities and minimise environmental impact in the performance of the role and actively contribute to the delivery of GBS’s Environmental Policy.To their Health and Safety responsibilities to ensure their contribution to a safe and secure working environment for staff, students, and other visitors to the campus.."
Quality Engineering Team Lead,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Quality Engineering Team Lead with experience with Mocha, knowledge of Jest and experience with Selenium Web Driver or Puppeteer to join our team. The client is the world's largest source of intelligence on people and places, processing data from over 1.6 billion monthly users across 44 countries. Responsibilities Leading a group of 3 QA automation engineers in a JS-based working environment Creating test framework for e2e and integration testing, setup test management and defect fixing process that does not count on manual QAs Requirements 6+ years of hands-on experience in Automated Testing Experience with Mocha Knowledge of Jest Experience with Selenium Web Driver or Puppeteer Familiar with Karma Experience with Jasmine English B2 2+ years of relevant leadership experience We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
"Data Engineer - ETL/ELT, SQL, Datawarehousing(Mumbai)",On-site,"About the job JOB DESCRIPTION:Technical Competencies:SQL knowledge (query performance tuning, index maintenance, etc.) as well as an understanding of database structureKnowledge of at least one ETL tools like Talend, Informatica, SSIS, DataStage, etc. Experience working on any Massive Parallel Processing (MPP) database systems would be an advantage - experience with Vertica platform will be preferredKnowledge of Data Modelling principlesSoft Skills:Organizing skills - time management and planningHigh attention to detailPassion to work on complex data structures and solve problemsQuick learner - Ability to pick up new data tools and concepts quicklyInternal DescriptionRole & Responsibilities:Need to build ETL pipelines to ingest the data from heterogeneous sources into the system.Ability to interact with business owners to understand their data requirements and help them make data-related decisions using your ETL knowledge and experience.Design, implement and operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors according to customer requirements.The job role might also require you to learn new tools and technologies fast, hence an in-depth database knowledge as well as basic programming and scripting skills is a must.Proficient in building efficient and stable data pipelines which can be easily maintained in the future.Should have expertise in the design, creation, management and business use of large datasets."
Algorithm Developer- ADAS,On-site,"About the job Hiring!!! Algorithm Developer - ADAS Education: Masters or Bachelors with 2+year experience in Deep Learning/Computer Vision or related profiles BE (Computer Science, Electronics, Electrical, Instrumentation, Telecommunication), ME , M.Tech Exp: 3-7 YearsLocation: Bangalore, CoimbatoreMandatory Skills:Strong programming skills in Python/C++TensorFlow/Pytorch and TensorRTOpenCV/Point cloud based data processingMulti Object Tracking (Mandatory)SLAMImplemented Perception systems with experience in either: Object Detection, semantic segmentation, semantic understanding, scene recognition, predictionExperience with deploying DL models on edge hardwareCUDA based code deployments Roles and Responsibilities: To contribute in automonous vehicle software development for real time perception and tracking of vehicles using 3D-Lidar. Key Skills:Multi Object Tracking Preferable Skills: • Experience in design and implementation of Filters or related algorithms• Fairly good knowledge in orientation concepts (quaternion/Euler/angular rates/rotation vectors)• Exposure in sensor applications (acceleration/magnetic field/rotation)• Experience in image and video processing algorithms."
